id	identifier	symbol	other_identifiers	description	synonyms
1	MESH:C535316	46,XX Gonadal dysgenesis epibulbar dermoid			
2	MESH:C579754	abc disease			
3	MESH:C535552	Abdominal chemodectomas with cutaneous angiolipomas			|Familial-abdominal-chemodectomas-with-cutaneous-angiolipomas|with Cutaneous Angiolipomas Intraabdominal Chemodectoma|Chemodectoma, Intraabdominal, with-Cutaneous-Angiolipomas|Familial abdominal chemodectomas with cutaneous angiolipomas|Chemodectoma, Intraabdominal, with Cutaneous Angiolipomas|
4	MESH:C535553	Abdominal cystic lymphangioma			|Abdominal retroperitoneal lymphangioma|Abdominal-retroperitoneal-lymphangioma|Retroperitoneal cystic lymphangioma|Retroperitoneal-cystic-lymphangioma|
5	MESH:D000008	Abdominal Neoplasms		New abnormal growth of tissue in the ABDOMEN.	|Abdominal-Carcinomas|Abdominal Carcinoma|Cancer, Abdominal|Abdominal-Carcinoma|Abdominal Tumour|Abdominal-Cancer|Neoplasms, Abdominal|Tumours, Abdominal|Cancers, Abdominal|Abdominal Tumor|Abdominal Neoplasms|Tumour, Abdominal|Abdominal Carcinomas|Abdominal Tumors|Abdominal-Tumor|Abdominal-Tumors|Abdominal-Neoplasm|Neoplasm, Abdominal|Abdominal Tumours|Abdominal-Tumour|Abdominal-Cancers|Tumors, Abdominal|Abdominal Neoplasm|Tumor, Abdominal|Abdominal Cancer|Abdominal Cancers|Carcinomas, Abdominal|Carcinoma, Abdominal|Abdominal-Tumours|
6	MESH:D058739	Aberrant Crypt Foci		Clusters of colonic crypts that appear different from the surrounding mucosa when visualized after staining. They are of interest as putative precursors to colorectal adenomas and potential biomarkers for colorectal carcinoma.	|Crypt Foci, Aberrant|Foci, Aberrant-Crypt|Foci, Aberrant Crypt|Aberrant Crypt Foci|Crypt-Foci, Aberrant|
7	MESH:C535558	Abrikosov's tumor			|Giant granulo cellular Abrikosov's Carcinomas|Malignant variant of Abrikosov's Cancer|Abrikosoff's granulous cell Cancer|Malignant variant of Abrikosov's Neoplasm|Giant-granulo-cellular-Abrikosov's-Neoplasm|Giant granulo-cellular Abrikosov's Neoplasms|Abrikosoff's-granulous-cell-Neoplasm|Giant granulo cellular Abrikosov's tumor|Giant granulo-cellular Abrikosov's Tumour|Malignant variant of Abrikosov's Tumour|Giant granulo-cellular Abrikosov's Carcinomas|Abrikosoff's-granulous-cell-Neoplasms|Giant-granulo-cellular-Abrikosov's-tumor|Abrikosoff's Cancer|Malignant-variant-of-Abrikosov's-Cancers|Abrikosoff's-Tumours|Giant granulo cellular Abrikosov's Carcinoma|Abrikosoff's-Carcinoma|Giant granulo-cellular Abrikosov's Neoplasm|Abrikosoff's-Carcinomas|Malignant-variant-of-Abrikosov's-Tumour|Giant granulo-cellular Abrikosov's Carcinoma|Giant granulo-cellular Abrikosov's Tumours|Abrikosoff's granulous cell tumor|Abrikosoff's Neoplasms|Abrikosoff's granulous cell Neoplasm|Abrikosoff's granulous cell Cancers|Giant granulo-cellular Abrikosov's tumor|Abrikosoff's granulous cell Tumour|Malignant-variant-of-Abrikosov's-tumor|Abrikosoff's-Cancer|Giant granulo-cellular Abrikosov's Cancers|Abrikosoff's Tumours|Abrikosoff's-granulous-cell-Carcinomas|Malignant-variant-of-Abrikosov's-Neoplasm|Giant-granulo-cellular-Abrikosov's-Carcinoma|Malignant variant of Abrikosov's Cancers|Malignant-variant-of-Abrikosov's-Carcinomas|Giant granulo cellular Abrikosov's Cancers|Giant-granulo-cellular-Abrikosov's-Cancer|Abrikosoff's Carcinomas|Abrikosoff's-Neoplasm|Abrikosoff's granulous cell Tumours|Malignant variant of Abrikosov's Carcinoma|Malignant-variant-of-Abrikosov's-Carcinoma|Malignant variant of Abrikosov's Carcinomas|Malignant-variant-of-Abrikosov's-Tumours|Giant-granulo-cellular-Abrikosov's-Tumour|Abrikosoff's-granulous-cell-Cancers|Malignant variant of Abrikosov's Tumours|Malignant variant of Abrikosov's tumor|Giant-granulo-cellular-Abrikosov's-Neoplasms|Giant granulo cellular Abrikosov's Neoplasm|Abrikosoff's Cancers|Abrikosoff's-granulous-cell-Carcinoma|Abrikosoff's Carcinoma|Giant granulo cellular Abrikosov's Tumours|Malignant-variant-of-Abrikosov's-Neoplasms|Abrikosoff's granulous cell Carcinomas|Giant granulo-cellular Abrikosov's Cancer|Abrikosoff's-granulous-cell-tumor|Abrikosoff's-Tumour|Abrikosoff's-Cancers|Abrikosoff's granulous cell Carcinoma|Malignant-variant-of-Abrikosov's-Cancer|Giant granulo cellular Abrikosov's Tumour|Abrikosoff's-Neoplasms|Abrikosoff's-granulous-cell-Tumour|Giant-granulo-cellular-Abrikosov's-Carcinomas|Abrikosoff's Tumour|Abrikosoff's Neoplasm|Abrikosoff's tumor|Giant granulo cellular Abrikosov's Cancer|Giant-granulo-cellular-Abrikosov's-Cancers|Abrikosoff's-granulous-cell-Tumours|Abrikosoff's-tumor|Malignant variant of Abrikosov's Neoplasms|Giant granulo cellular Abrikosov's Neoplasms|Abrikosoff's-granulous-cell-Cancer|Giant-granulo-cellular-Abrikosov's-Tumours|Abrikosoff's granulous cell Neoplasms|
8	MESH:D049309	Acanthoma	DO:DOID:172|DO:DOID:174|DO:DOID:4322	A neoplasm composed of squamous or epidermal cells.	|Acanthoma, Clear Cell|Degos-Acanthoma|Degos Acanthoma|Pilar-Sheath-Acanthoma|Acanthomas, Pilar Sheath|Acanthomas, Pilar-Sheath|Clear Cell Acanthoma|Acanthomas|Acanthomas, Clear Cell|Pilar Sheath Acanthoma|Clear-Cell-Acanthomas|Acanthoma, Pilar-Sheath|Clear Cell Acanthomas|Acanthoma, Degos|Acanthoma, Pilar Sheath|Pilar-Sheath-Acanthomas|Acanthomas, Clear-Cell|Acanthoma, Clear-Cell|Pilar Sheath Acanthomas|Clear-Cell-Acanthoma|
9	MESH:C536013	Achard-Thiers syndrome			|Bearded-female-with-diabetes|Diabetes in bearded women|Diabetic-bearded woman syndrome|Adenoma associated virilism of older women|Adenoma-associated-virilism-of-older-women|Diabetic-bearded-woman-syndrome|Diabetic bearded woman syndrome|Diabetes-in-bearded-women|Bearded female with diabetes|
10	MESH:D018250	Acrospiroma	DO:DOID:5442	A rare cutaneous tumor of apocrine or eccrine SWEAT GLAND origin. It is most commonly found on the extremities and is usually benign. It appears as a solitary nodule or cyst and may be solid or produce a watery discharge. It is related to POROMA except in acrospiroma it does not involve the epidermis. There is no indication that heredity or external agents cause these tumors.	|Eccrine-Spiradenomas|Hidradenoma, Solid Cystic|Solid-Cystic-Hidradenomas|Clear Cell Hidradrenomas|Hidradrenoma, Clear Cell|Nodular-Hidradrenomas|Solid Cystic Hidradenoma|Hidradrenoma, Nodular|Hidradenoma, Cystic|Clear-Cell-Hidradrenomas|Hidradenoma, Solid-Cystic|Hidradrenomas, Nodular|Eccrine-Acrospiromas|Eccrine Acrospiroma|Solid-Cystic-Hidradenoma|Clear Cell Hidradrenoma|Nodular Hidradrenoma|Eccrine Spiradenoma|Spiradenomas|Acrospiromas|Cystic-Hidradenomas|Solid-Cystic Hidradenomas|Cystic-Hidradenoma|Eccrine-Acrospiroma|Nodular Hidradrenomas|Eccrine-Spiradenoma|Spiradenoma, Eccrine|Hidradenoma|Solid Cystic Hidradenomas|Acrospiroma, Eccrine|Eccrine Acrospiromas|Clear-Cell Hidradrenoma|Spiradenoma|Cystic Hidradenomas|Solid-Cystic Hidradenoma|Spiradenomas, Eccrine|Clear-Cell Hidradrenomas|Nodular-Hidradrenoma|Eccrine Spiradenomas|Hidradrenoma, Clear-Cell|Clear-Cell-Hidradrenoma|Cystic Hidradenoma|Hidradenomas|
